k,p,train_error,test_error,error_difference
1,1.0,0.006666666666666654,0.04586666666666666,0.039200000000000006
1,2.0,0.006266666666666655,0.046799999999999994,0.04053333333333334
1,inf,0.006399999999999988,0.044,0.03760000000000001
3,1.0,0.02599999999999998,0.043199999999999995,0.01720000000000001
3,2.0,0.02466666666666665,0.04053333333333333,0.015866666666666678
3,inf,0.024133333333333312,0.04053333333333333,0.016400000000000012
5,1.0,0.03159999999999999,0.037599999999999995,0.0060000000000000045
5,2.0,0.03226666666666666,0.03733333333333333,0.005066666666666672
5,inf,0.032133333333333326,0.03786666666666666,0.005733333333333338
7,1.0,0.03506666666666666,0.03799999999999999,0.002933333333333331
7,2.0,0.034666666666666665,0.03773333333333333,0.0030666666666666607
7,inf,0.03453333333333333,0.03853333333333333,0.004000000000000003
9,1.0,0.03439999999999999,0.03893333333333333,0.004533333333333331
9,2.0,0.035733333333333325,0.03759999999999999,0.0018666666666666632
9,inf,0.03493333333333333,0.036933333333333325,0.0019999999999999974
