k,p,train_error,test_error,error_difference
1,1.0,0.0046666666666666575,0.046,0.04133333333333334
1,2.0,0.004399999999999992,0.04413333333333333,0.03973333333333334
1,inf,0.004799999999999991,0.04386666666666666,0.039066666666666666
3,1.0,0.02466666666666665,0.044533333333333334,0.019866666666666685
3,2.0,0.023733333333333315,0.04359999999999999,0.019866666666666682
3,inf,0.023466666666666646,0.04293333333333333,0.01946666666666669
5,1.0,0.03173333333333332,0.0408,0.009066666666666673
5,2.0,0.03173333333333332,0.03919999999999999,0.007466666666666667
5,inf,0.033199999999999986,0.03959999999999999,0.006400000000000002
7,1.0,0.032533333333333324,0.03866666666666666,0.006133333333333336
7,2.0,0.03359999999999999,0.04106666666666667,0.007466666666666668
7,inf,0.03439999999999999,0.03893333333333333,0.0045333333333333345
9,1.0,0.03413333333333333,0.040266666666666666,0.006133333333333334
9,2.0,0.03359999999999999,0.039466666666666664,0.005866666666666668
9,inf,0.03346666666666666,0.040133333333333326,0.0066666666666666706
